Rank,Name,FirstName,LastName,MLBAMID,PlayerSlug,Position,PrimaryPosition,Org,OrgID,CurrentTeam,CurrentTeamID,Level,ETA,Age,BirthDate,BirthCity,BirthCountry,Height,Weight,Bats,Throws,DraftYear,BioExcerpt,Source,SourceURL,ArticleURL,FetchedAtUTC
36,Jonah Tong,Jonah,Tong,804636,jonah-tong-804636,RHP,P,New York Mets,121,Syracuse Mets,552,AAA,2026,22,2003-06-19,Markham,Canada,"6' 1""",180,R,R,2022,"Scouting grades: Fastball: 65 | Curveball: 55 | Slider: 50 | Changeup: 45 | Control: 45 | Overall: 45 A native of Ontario, Tong headed to the Georgia Premier Academy for 2022 and earned a trip to the MLB Draft League, though his performance for Frederick wasn’t stellar (14 earned runs in 11 2/3 innings). The Mets still took the right-hander in the seventh round that July and signed him for full slot at $226,000 to get him away from a North Dakota State commitment. Tong only made 10 appearances (",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
37,Edward Florentino,Edward,Florentino,821273,edward-florentino-821273,OF/1B,OF,Pittsburgh Pirates,134,Greensboro Grasshoppers,477,A+,2028,19,2006-11-11,Los Alcarrizos,Dominican Republic,"6' 3""",200,L,R,,"Scouting grades : Hit: 45 | Power: 50 | Run: 40 | Arm: 50 | Field: 50 | Overall: 40 The Pirates gave out a pair of seven-figure bonuses at the start of the 2024 international signing period to outfielder Brayln Brazoban and infielder Adbiel Feliz. Florentino, a big left-handed hitter from the Dominican Republic, was among several prospects who received six figures, getting $395,000 to join the organization. He made his professional debut in the Dominican Summer League this year. Florentino has t",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
38,Eduardo Quintero,Eduardo,Quintero,808234,eduardo-quintero-808234,OF,OF,Los Angeles Dodgers,119,Great Lakes Loons,456,A+,2028,20,2005-09-16,Ocumare del Tuy,Venezuela,"6' 1""",175,R,R,,"Scouting grades: Hit: 55 | Power: 50 | Run: 60 | Arm: 60 | Field: 55 | Overall: 45 Signed for $297,500 out of Venezuela, Quintero looks like one of the bigger bargains from the 2023 international market. Though he was a talented catcher as an amateur, the Dodgers made him a full-time center fielder in order to take full advantage of his athleticism. He was the top 17-year-old performer in the Rookie-level Dominican Summer League in his pro debut, batting .359/.472/.618 and starring in the playof",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
39,Kaelen Culpepper,Kaelen,Culpepper,701785,kaelen-culpepper-701785,SS,SS,Minnesota Twins,142,St. Paul Saints,1960,AAA,2027,23,2002-12-29,Memphis,USA,"5' 10""",185,R,R,2024,"Video scouting report » Scouting grades: Hit: 55 | Power: 45 | Run: 50 | Arm: 60 | Field: 50 | Overall: 50 Culpepper might go from an unheralded Tennessee high schooler to Kansas State's first-ever first-round position player. Bothered by a hamate injury for much of his sophomore season, he starred at the Big 12 Conference tournament and was the top hitter (.471/.526/.853) on the U.S. collegiate national team during the summer. He moved from third base to shortstop as a junior, batting .474 in t",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
40,Travis Sykora,Travis,Sykora,805809,travis-sykora-805809,RHP,P,Washington Nationals,120,Harrisburg Senators,547,AA,2028,22,2004-04-28,Round Rock,USA,"6' 6""",232,R,R,2023,"Video scouting report » Scouting grades: Fastball: 70 | Slider: 55 | Splitter: 60 | Control: 50 | Overall: 50 Texas hasn't placed a prep pitcher in the first round since 2018, but Sykora could put an end to that dry spell. He has the biggest fastball in the high school class, reaching triple digits on the showcase circuit while showing he was more than just a flamethrower. He was arguably the most dominant pitcher at both the PDP League and the Area Code Games. Sykora's fastball not only parks a",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
41,Gage Jump,Gage,Jump,695611,gage-jump-695611,LHP,P,Athletics,133,Las Vegas Aviators,400,AAA,2026,23,2003-04-12,Aliso Viejo,USA,"6' 0""",200,L,L,2024,"Video scouting report » Scouting grades: Fastball: 50 | Curveball: 55 | Slider: 55 | Changeup: 50 | Control: 55 | Overall: 50 JSerra Catholic High School in Southern California has produced a good amount of talented players, most notably former No. 1 overall pick Royce Lewis. While the 2021 roster doesn’t have anyone who will go in that neck of the woods, it is deep with a pair of Top 100 prospects and some others of interest. Jump, an undersized and athletic lefty who threw well at a variety of",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
42,Mike Sirota,Mike,Sirota,701527,mike-sirota-701527,OF,CF,Los Angeles Dodgers,119,Great Lakes Loons,456,A+,2027,22,2003-06-16,Mineola,USA,"6' 2""",188,R,R,2024,"Video scouting report » Scouting grades: Hit: 50 | Power: 45 | Run: 60 | Arm: 55 | Field: 55 | Overall: 50 Relatively unknown in high school, Sirota was selected late in the 2021 Draft out of the Connecticut high school ranks by the Dodgers, but went on to play for Mike Glavine at Northeastern University in Boston. He had hit everywhere he’d been, from his first two seasons in college (1.060 OPS) to back-to-back turns in the Cape Cod League (.942 OPS), making the grand-nephew of Whitey Ford the ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
43,Theo Gillen,Theo,Gillen,815394,theo-gillen-815394,OF,OF,Tampa Bay Rays,139,Bowling Green Hot Rods,2498,A+,2028,20,2005-09-12,Chicago,USA,"6' 2""",195,L,R,2024,"Video scouting report » Scouting grades: Hit: 60 | Power: 55 | Run: 60 | Arm: 40 | Field: 50 | Overall: 50 Gillen emerged as one of the top talents in Texas' 2024 high school class three years ago, only to be slowed by a torn labrum that required shoulder surgery as a sophomore and a knee injury as a junior. Finally healthy again this spring outside of a minor groin ailment, he has pushed his way ahead of the rest of the Lone Star State prepsters. He projects to become the first first-rounder fr",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
44,Joe Mack,Joe,Mack,691788,joe-mack-691788,C,C,Miami Marlins,146,Miami Marlins,146,MLB,2026,23,2002-12-27,Williamsville,USA,"6' 0""",210,L,R,2021,"Video scouting report » Scouting grades: Hit: 55 | Power: 50 | Run: 40 | Arm: 60 | Field: 50 | Overall: 50 In 2018, Charles Mack was a high school player outside of Buffalo, New York, who attracted a lot of attention from scouts and eventually signed an above-slot deal with the Twins as a sixth-rounder in that year's Draft. His brother, Joe, was a freshman on that team and even back then, scouts knew he'd be someone they'd be back to see three years later. After standing out at events like the E",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
45,Eduardo Tait,Eduardo,Tait,806953,eduardo-tait-806953,C,C,Minnesota Twins,142,Cedar Rapids Kernels,492,A+,2028,19,2006-08-27,Panama City,Panama,"6' 0""",175,L,R,,"Scouting grades: Hit: 50 | Power: 50 | Run: 40 | Arm: 60 | Field: 45 | Overall: 40 Staryln Caba may have been the star of the Phillies’ haul on the international market in 2023, getting $3 million to join the organization. But he’s not alone among position players making an early name for themselves from the signing class. Tait got just $90,000 to sign out of Panama and if early returns in the Dominican Summer League are any indication, they may have gotten a huge bargain. Still only 16 years ol",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
46,Bryce Rainer,Bryce,Rainer,800614,bryce-rainer-800614,SS,SS,Detroit Tigers,116,West Michigan Whitecaps,582,A+,2028,20,2005-07-03,Simi Valley,USA,"6' 3""",195,L,R,2024,"Video scouting report » Scouting grades: Hit: 55 | Power: 60 | Run: 55 | Arm: 60 | Field: 50 | Overall: 60 Before the 2024 high season began, people looked at Rainer as an exciting two-way player. The Harvard-Westlake standout showed off skills in the box and on the mound during the summer showcase circuit and performed double duty for USA Baseball’s 18U team in international competition. The consensus was that while Rainer seemed to want to hit, scouts thought he had tremendous upside on the mo",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
47,Angel Genao,Angel,Genao,694197,angel-genao-694197,SS,3B,Cleveland Guardians,114,Columbus Clippers,445,AAA,2026,21,2004-05-19,Castillo,Dominican Republic,"5' 11""",150,S,R,,"Video » A switch-hitting shortstop from the northern region of the island, Genao is one of many talented shortstops from the Dominican Republic is this year’s class. Long and lean, the teenager has shown the ability to hit in games and make consistent, hard contact. He also projects to stay at shortstop as he grows into his body. Here’s why: Genao has soft hands, solid footwork and an average arm now that projects to be above average. He’s instinctual and shows some polish on defense. Consistent",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
48,Michael Arroyo,Michael,Arroyo,703197,michael-arroyo-703197,2B/OF,SS,Seattle Mariners,136,Arkansas Travelers,574,AA,2026,21,2004-11-03,Cartagena,Colombia,"5' 10""",160,R,R,,"Video scouting report » Scouting grades: Hit: 55 | Power: 45 | Run: 50 | Arm: 50 | Field: 50 | Overall: 50 Arroyo reminds some scouts of Blue Jays prospect Manuel Beltre, an offensive-minded infielder with a ton of amateur at-bats and one of the top players in the international class of 2020-2021. Like Beltre, Arroyo played in several tournaments in his home country and starred in showcases and private workouts for teams. He’s known more for his hitting ability than his power potential, but ther",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
49,Cam Caminiti,Cam,Caminiti,807284,cam-caminiti-807284,LHP,P,Atlanta Braves,144,Rome Emperors,432,A+,2027,19,2006-08-08,Scottsdale,USA,"6' 2""",195,L,L,2024,"Video scouting report » Scouting grades: Fastball: 60 | Curveball: 50 | Slider: 55 | Changeup: 55 | Control: 50 | Overall: 55 A cousin of Ken Caminiti, Cam Caminiti was thought to be one of the best players in the 2025 Draft class when he reclassified for 2024. That made him one of the youngest players in the class, one who will still be 17 years old at the time of the Draft. A solid two-way player who could be a prospect as a hitter, he separated himself on the mound with strong performances on",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
50,Hagen Smith,Hagen,Smith,696146,hagen-smith-696146,LHP,P,Chicago White Sox,145,Charlotte Knights,494,AAA,2026,22,2003-08-19,Bullard,USA,"6' 3""",235,L,L,2024,"Video scouting report » Scouting grades: Fastball: 50 | Slider: 55 | Changeup: 50 | Control: 50 | Overall: 45 Smith was establishing himself as one of the top prep left-handers for the 2021 Draft before he had Tommy John surgery in 2019. That sidelined him for all of last season as well as the showcase circuit, but he has reclaimed his status this spring. He threw three straight no-hitters and four in a span of five starts in March, finishing the season with a total of seven no-nos as his stuff ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
51,Tyler Bremner,Tyler,Bremner,803285,tyler-bremner-803285,RHP,P,Los Angeles Angels,108,Tri-City Dust Devils,460,A+,2026,22,2004-04-20,San Diego,USA,"6' 2""",190,R,R,2025,"Video scouting report » Scouting grades: Fastball: 50 | Curveball: 50 | Changeup: 55 | Control: 55 | Overall: 40 In a less-than-deep year for high school talent in the San Diego area this year, Bremner has stood out. The only player from the area to compete in the Area Code Games last summer, Bremner also made the All-Tournament team at Perfect Game's WWBA World Championship in Jupiter, Florida, last fall. While some prep pitchers wow by lighting up the radar gun, Bremner has stood out more for ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
52,Ethan Salas,Ethan,Salas,806956,ethan-salas-806956,C,C,San Diego Padres,135,San Antonio Missions,510,AA,2027,19,2006-06-01,Kissimmee,USA,"6' 1""",185,L,R,,"Scouting grades: Hit: 60 | Power: 50 | Run: 50 | Arm: 60 | Field: 55 | Overall: 55 The top player in the class is one of the best catching prospects in recent history. His strong skills on the field are matched by his notable family ties, as his grandfather, father and uncle all played professionally. He is the younger brother of Twins prospect Jose Salas, and he could end up being the best player in the family. The athletic Salas has a good feel for the strike zone and shows the ability to hit ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
53,Billy Carlson,Billy,Carlson,815814,billy-carlson-815814,SS,SS,Chicago White Sox,145,Kannapolis Cannon Ballers,487,A,2029,19,2006-07-29,Mission Viejo,USA,"6' 1""",185,R,R,2025,"Video scouting report » Scouting grades: Hit: 50 | Power: 50 | Run: 55 | Arm: 65 | Field: 70 | Overall: 55 The 2025 Draft class is deep in southern California and Corona High School has been a regular stop all spring, with three potential early-round picks on the team that won USA Baseball's National High School Invitational last year. Carlson's skills at shortstop that were on display at a variety of summer showcase events, including the Area Code Games and Major League Baseball's High School A",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
54,Emmanuel Rodriguez,Emmanuel,Rodriguez,691181,emmanuel-rodriguez-691181,OF,CF,Minnesota Twins,142,St. Paul Saints,1960,AAA,2026,23,2003-02-28,Santiago,Dominican Republic,"5' 11""",210,L,L,,"2019 Scouting grades: Hit: 50 | Power: 50 | Run: 55 | Arm: 55 | Field: 55 | Overall: 45 The Twins have long been active on the international amateur player market and the 2019-20 signing period has proven to be no different. The organization handed out seven six-figures or better bonuses at the start of the new signing period, a group topped by Rodriguez. The talented outfielder was ranked No. 8 on MLB Pipeline's Top 30 international prospects list and got $2.5 million to sign. Rodriguez has the",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
55,Blake Mitchell,Blake,Mitchell,805810,blake-mitchell-805810,C,C,Kansas City Royals,118,Quad Cities River Bandits,565,A+,2027,21,2004-08-03,Clear Lake,USA,"6' 0""",202,L,R,2023,"Video scouting report » Scouting grades: Hit: 55 | Power: 55 | Run: 35 | Arm: 70 | Field: 50 | Overall: 55 Although the high school catching demographic scares clubs in the first round, it's otherwise hard to find fault with Mitchell, who could go in the top 15 picks come July. He has tools on both sides of the ball, a fallback option as a pitcher and a long track record of performance. He played for the U.S. junior team the last two summers, winning the gold-medal game at the 18-and-under World",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
56,Arjun Nimmala,Arjun,Nimmala,805796,arjun-nimmala-805796,SS,SS,Toronto Blue Jays,141,New Hampshire Fisher Cats,463,AA,2028,20,2005-10-16,Tampa,USA,"6' 0""",190,R,R,2023,"Video scouting report » Scouting grades: Hit: 50 | Power: 55 | Run: 50 | Arm: 55 | Field: 50 | Overall: 55 The area in and around Tampa has long been a hotbed in terms of producing premium high school Draft talent, and this year is no different, with hitters like Aidan Miller and Nimmala high on most teams’ boards. Nimmala’s age and offensive upside were on display all summer, including at Major League Baseball’s High School All-American Game, and he's poised to become the first draftee ever fro",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
57,Emil Morales,Emil,Morales,815896,emil-morales-815896,SS,SS,Los Angeles Dodgers,119,Ontario Tower Buzzers,6482,A,2029,19,2006-09-22,Las Palmas de Gran Canaria,Spain,"6' 3""",191,R,R,,"Video scouting report » Scouting grades: Hit: 55 | Power: 55 | Run: 50 | Arm: 50 | Field: 50 | Overall: 55 Morales is a big-bodied prospect with the potential to develop into a difference-making power bat. He’s shown the ability to manage the strike zone and is patient enough to draw walks consistently. When he gets his pitch, he turns on it quickly and drives the ball to all fields with authority. He flashes home run power and more is on the way. Like most teenage prospects, he’s working on rep",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
58,Luis Hernández,Luis,Hernández,836582,luis-hernandez-836582,SS,SS,San Francisco Giants,137,ACL Giants,408,ROK,2030,17,2008-12-13,San Juan de los Morros,Venezuela,"5' 10""",172,R,R,,"Video scouting report » Scouting grades : Hit: 65 | Power: 60 | Run: 60 | Arm: 50 | Field: 60 | Overall: 65 Carlos Guillén played 14 seasons in the big leagues and collected more than 1,300 hits en route to earning three All-Star appearances. Now a trainer (and member of MLB’s Trainer Partnership Program) in his native Venezuela, his star pupil of the 2026 class is Hernández, one of the most heralded players on the international scene in the past few years. Gifted with immense physical projectio",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
59,Ralphy Velazquez,Ralphy,Velazquez,806252,ralphy-velazquez-806252,1B/OF,1B,Cleveland Guardians,114,Akron RubberDucks,402,AA,2027,20,2005-05-28,San Pedro,USA,"6' 1""",240,L,R,2023,"Video scouting report » Scouting grades: Hit: 55 | Power: 55 | Run: 40 | Arm: 55 | Field: 45 | Overall: 50 Huntington Beach High School in California has produced its fair share of Draft talent, headlined by former first-rounders Nick Pratto in 2017 and Hank Conger in 2006. Velazquez has the chance to be next in that line of potential bats, and after a modest summer, he had a big up arrow next to his name with strong performances this spring, especially in front of a lot of evaluators at both th",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
60,Jett Williams,Jett,Williams,702518,jett-williams-702518,3B/SS/OF,SS,Milwaukee Brewers,158,Nashville Sounds,556,AAA,2026,22,2003-11-03,Dallas,USA,"5' 7""",179,R,R,2022,"Video scouting report » Scouting grades: Hit: 55 | Power: 45 | Run: 60 | Arm: 50 | Field: 50 | Overall: 50 At 5-foot-8, Williams might be the smallest player on our Draft Top 250, but he's also a favorite gut-feel guy for a lot of scouts. One crosschecker called him the best hitter on the summer showcase circuit, where he raked despite an injury to his right shoulder. The Mississippi State recruit could factor into the middle of the first round, especially to a club that thinks he can stay at sh",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
61,JR Ritchie,JR,Ritchie,702275,jr-ritchie-702275,RHP,P,Atlanta Braves,144,Atlanta Braves,144,MLB,2026,22,2003-06-26,Seattle,USA,"6' 2""",185,R,R,2022,"Video scouting report » Scouting grades: Fastball: 60 | Curveball: 50 | Slider: 55 | Changeup: 50 | Control: 50 | Overall: 50 Bainbridge Island in Washington state can be found across Elliott Bay from Seattle and is home to roughly 25,000 people. A player hasn’t been drafted from the island since Brian Coleman went in Round 55 back in 1990. Ritchie, an athletic right-hander who first stood out as an underclassman on the summer showcase circuit in 2020, should have the combination of stuff and fe",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
62,Jarlin Susana,Jarlin,Susana,703186,jarlin-susana-703186,RHP,P,Washington Nationals,120,Harrisburg Senators,547,AA,2027,22,2004-03-23,Villa Isabela,Dominican Republic,"6' 6""",235,R,R,,"Video scouting report » Scouting grades: Fastball: 55 | Slider: 50 | Changeup: 50 | Curveball: 50 | Overall: 50 The top pitcher in this class, Susana has the right mix of pitches and the type of repeatable delivery that could land him in a big league starting rotation one day. Beginning with his body frame, a sturdy 6-foot-6 and 225 pounds, Susana already has the look of a Major League starter. There is still room for lots of development, but it’s easy to see why scouts love his potential. The r",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
63,Elmer Rodríguez,Elmer,Rodríguez,695684,elmer-rodriguez-695684,RHP,P,New York Yankees,147,Scranton/Wilkes-Barre RailRiders,531,AAA,2026,22,2003-08-18,Trujillo Alto,Puerto Rico,"6' 4""",177,L,R,2021,"Scouting grades: Fastball: 55 | Curveball: 55 | Slider: 50 | Changeup: 50 | Control: 50 | Overall: 40 One of the younger and more projectable pitchers in the 2021 Draft, Rodriguez-Cruz didn't turn 18 until a month after the Red Sox made him a fourth-round pick out of a Puerto Rican academy. Because of his youth and the need to add strength to his frame, Boston waited until this summer to have him make his pro debut in the Rookie-level Florida Complex League. Rodriguez-Cruz has a four-pitch mix h",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
64,Jhonny Level,Jhonny,Level,815929,jhonny-level-815929,SS,SS,San Francisco Giants,137,San Jose Giants,476,A,2029,19,2007-03-29,Cumana,Venezuela,"5' 8""",186,S,R,,"Video scouting report » Scouting grades: Hit: 50 | Power: 50 | Run: 50 | Arm: 55 | Field: 50 | Overall: 50 Level is an athletic, switch-hitting infield prospect with fluid swinging mechanics and a natural feel for hitting. He has the potential to hit for both power and contact -- from both sides of the plate. Scouts have been impressed with his elite bat speed. A twitchy athlete with good reaction times, Level has enough range to stick in the infield with improved footwork. To back that assertio",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
65,Steele Hall,Steele,Hall,829162,steele-hall-829162,SS,SS,Cincinnati Reds,113,ACL Reds,3430,ROK,2029,18,2007-07-24,Mobile,USA,"5' 10""",180,R,R,2025,Video scouting report » Scouting grades: Hit: 50 | Power: 45 | Run: 70 | Arm: 55 | Field: 60 | Overall: 55 Hall's decision to reclassify for the 2025 Draft last November keeps looking better and better. He has added 15-20 pounds of strength during his third year of high school while improving both offensively and defensively. He won't turn 18 until 11 days after the Draft and should become the first Alabama prep middle infielder to go in the first round since Condredge Holloway went fourth overa,MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
66,Cooper Pratt,Cooper,Pratt,806198,cooper-pratt-806198,SS,SS,Milwaukee Brewers,158,Nashville Sounds,556,AAA,2026,21,2004-08-18,Hialeah,USA,"6' 4""",210,R,R,2023,"Video scouting report » Scouting grades: Hit: 55 | Power: 50 | Run: 50 | Arm: 55 | Field: 55 | Overall: 50 Gunnar Henderson went 42nd overall in the 2019 Draft and quickly developed into one of the best young players in the big leagues. Scouts see a lot of similarities between Henderson and Pratt, who finished the showcase circuit as one of the top performers at the World Wood Bat Association World Series in October. They both played at private high schools in the Deep South and had tall, projec",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
67,Josue Briceño,Josue,Briceño,800522,josue-briceno-800522,C/1B,C,Detroit Tigers,116,Erie SeaWolves,106,AA,2027,21,2004-09-23,Maracay,Venezuela,"6' 4""",200,L,R,,"Scouting grades: Hit: 50 | Power: 55 | Run: 40 | Arm: 40 | Field: 40 | Overall: 45 Born in Miguel Cabrera’s hometown of Maracay, Venezuela, Briceno signed with the Tigers for an $800,000 bonus as part of their 2022 international class. After mixed results in the Dominican Summer League that year, Briceno’s offensive potential emerged in the Florida Complex League last summer with impressive power, including 13 doubles and seven home runs in 169 at-bats. A late-August move to Single-A Lakeland sh",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
68,Joshua Báez,Joshua,Báez,695491,joshua-baez-695491,OF,RF,St. Louis Cardinals,138,Memphis Redbirds,235,AAA,2026,22,2003-06-28,Boston,USA,"6' 3""",220,R,R,2021,"Scouting grades: Hit: 45 | Power: 60 | Run: 50 | Arm: 70 | Field: 50 | Overall: 50 Video scouting report » Massachusetts high school baseball doesn’t tend to produce a ton of early-round talent. The last time a prep talent from the state went in the top three rounds was when the D-backs took right-hander Matt Tabor in 2017 and Isan Diaz is the most recent position player taken that high, a second rounder -- also by Arizona -- in 2014. Báez, who had his raw power on display at a number of summer ",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
69,Nate George,Nate,George,825582,nate-george-825582,OF,OF,Baltimore Orioles,110,Frederick Keys,493,A+,2028,19,2006-06-04,Joliet,USA,"6' 0""",200,R,R,2024,"Scouting grades: Hit: 50 | Power: 45 | Run: 65 | Arm: 50 | Field: 60 | Overall: 45 The Orioles were very college heavy in the 2024 Draft, with 18 of their 21 selections that July coming from that demographic. They did roll the dice on a few high schoolers, and if the early returns mean anything, they might have scored big in taking George from the Illinois prep ranks in the 16th round. A multi-sport standout in high school, George signed for an over-slot $455,000 to join the organization with pl",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
70,Dax Kilby,Dax,Kilby,828076,dax-kilby-828076,SS,SS,New York Yankees,147,Tampa Tarpons,587,A,2028,19,2006-11-17,Newnan,USA,"6' 2""",190,L,R,2025,"Video scouting report » Scouting grades: Hit: 55 | Power: 50 | Run: 55 | Arm: 50 | Field: 45 | Overall: 50 One of the more polished high school bats available, Kilby has a track record of producing against quality competition on the showcase circuit. There are questions about his long-term defensive home, but his hitting ability could land him as high as the second round if he's signable away from a Clemson commitment. He led Newnan HS to the Georgia state 5-A championship this spring, the Couga",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
71,Gage Wood,Gage,Wood,805906,gage-wood-805906,RHP,P,Philadelphia Phillies,143,Clearwater Threshers,566,A,2027,22,2003-12-15,Newport,USA,"6' 0""",205,R,R,2025,"Video scouting report » Scouting grades: Fastball: 70 | Curveball: 55 | Slider: 45 | Changeup: 45 | Control: 55 | Overall: 50 After Wood became Arkansas' closer as a freshman in 2023 and then continued to log high-leverage relief innings as a sophomore, scouts looked forward to him joining the rotation this spring. He came down with a shoulder impingement after his second start and missed two months before coming back for the stretch run. Though his command was sporadic at times following his re",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
