Name,Team,Pos,mlbam,Age,Draft,Highest Level,B/T,Hgt/Wgt,Rank,Avg,Athletic,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Roundup,Fantasy Six Pack,Fantrax HQ,Imaginary Brick Wall,Just Baseball,MLB Pipeline,NBC Sports,Pitcher List,Prospect 361,Prospects Live,Razzball,Roto- Baller,Roto- Prospects,Rotowire,TJStats,Upside Prospect
"De Brun, Slater",TB,OF,828173,18.8,2025 #37,,L/L,"5'10"" 187",233,208.32,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,251,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Riggio, Roc",COL,2B,691792,23.8,2023 #129,AA,L/R,"5'9"" 180",233,208.32,168,Paywall,Paywall,150,100,Paywall,120,165,150,150,Paywall,227,187,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Alvarez, Hayden",LAA,OF,820986,19.0,2024 FA,A,R/R,"6'3"" 190",235,208.88,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,425,278,150,150,150,107,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"White, Tommy",ATH,3B,695720,23.1,2024 #40,AA,R/R,"6'1"" 220",236,209.48,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,99,292,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Areinamo, Jadher",TB,2B,699130,22.3,2021 FA,AA,R/R,"5'8"" 160",237,209.60,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,245,238,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Milbrandt, Karson",MIA,P,703596,21.9,2022 #85,AA,R/R,"6'2"" 190",237,209.60,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,277,266,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Taylor, Devin",ATH,OF,805127,22.2,2025 #48,A,L/R,"6'1"" 215",239,210.88,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,218,150,150,150,122,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Bitonti, Eric",MIL,SS,800724,20.4,2023 #87,A,L/R,"6'4"" 218",240,211.44,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,162,342,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Pinango, Yohendrick",TOR,OF,682818,23.9,2018 FA,AAA,L/L,"5'11"" 170",241,211.56,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,312,428,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Fitz-Gerald, Devin",WAS,SS,803849,20.6,2024 #165,A,S/R,"5'10"" 185",242,213.12,168,Paywall,Paywall,150,150,Paywall,133,165,150,150,Paywall,192,384,150,150,150,106,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Ortiz, Abimelec",WAS,1B,694673,24.1,2021 FA,AAA,L/L,"5'10"" 230",242,213.12,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,228,208,150,150,150,225,Paywall,150,86,Paywall,Paywall,Paywall,150,Paywall
"Caba, Starlyn",MIA,SS,806965,20.3,2023 FA,A,S/R,"5'9"" 160",244,213.68,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,278,220,150,150,150,225,78,150,150,Paywall,Paywall,Paywall,150,Paywall
"Gamble, Sean",KC,OF,815819,19.7,2025 #23,,L/R,"6'1"" 188",245,214.48,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,142,150,150,150,143,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Peete, Tai",STL,OF,806191,20.6,2023 #30,A+,L/R,"6'2"" 193",246,215.12,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,241,341,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Nett, Braden",ATH,P,804556,23.8,2022 FA,AA,R/R,"6'3"" 185",247,215.36,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,477,261,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Bresnahan, Jacob",SF,P,815298,20.7,2023 #398,A,L/L,"6'4"" 195",248,215.56,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,210,474,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"George, Kendall",LAD,OF,806077,21.4,2023 #36,A+,L/L,"5'9"" 170",249,215.76,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,292,240,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Veen, Zac",COL,OF,691728,24.3,2020 #9,MLB,L/R,"6'3"" 190",250,216.04,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,160,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"German, Nestor",BAL,P,815148,24.1,2023 #331,AAA,R/R,"6'3"" 225",251,216.60,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,281,280,150,150,150,77,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Sanchez, Juan",TOR,SS,825646,18.5,2025 FA,R,R/R,"6'3"" 180",252,216.64,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,112,150,150,150,225,Paywall,150,150,124,Paywall,Paywall,150,Paywall
"Harlan, Chase",LAD,3B,815792,19.7,2024 #98,A,R/R,"6'3"" 205",253,217.04,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,507,111,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Flores, Rafael Jr.",PIT,C,804668,25.4,2022 FA,MLB,R/R,"6'4"" 232",254,217.36,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,578,312,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Brito, Juan",CLE,SS,682877,24.5,2018 FA,AAA,S/R,"6'0"" 202",255,218.44,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,141,367,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Ehrhard, Zach",LAD,OF,701394,23.2,2024 #115,AA,R/R,"5'10"" 190",256,219.12,168,Paywall,Paywall,150,150,Paywall,111,165,150,150,Paywall,206,445,150,150,150,127,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Winokur, Brandon",MIN,OF,806263,21.3,2023 #82,A+,R/R,"6'6"" 210",257,220.16,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,234,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Bautista, Yorger",SEA,OF,829045,18.5,2025 FA,R,L/L,"6'1"" 176",258,220.28,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,360,457,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Clarke, Brandon",STL,P,700251,23.0,2024 #148,A+,L/L,"6'4"" 220",259,220.84,168,Paywall,Paywall,150,150,Paywall,193,165,150,150,Paywall,900,337,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Voit, Mitch",NYM,2B,702491,21.5,2025 #38,A,R/R,"6'0"" 201",260,220.92,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,248,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Gil, John",ATL,SS,808535,19.9,2023 FA,AA,R/R,"6'1"" 175",261,221.40,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,230,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Morgan, Tre'",TB,1B,691003,23.7,2023 #88,AAA,L/L,"6'0"" 215",262,221.60,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,84,421,150,150,150,90,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Kepley, Kane",CHC,OF,823807,22.1,2025 #56,A,L/L,"5'8"" 180",263,221.64,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,228,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Harber, Parks",SF,3B,692238,24.5,2024 FA,A+,R/R,"6'3"" 225",264,222.16,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,224,391,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Becker, Nick",SEA,SS,829306,19.3,2025 #57,A,R/R,"6'4"" 190",265,222.72,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,145,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Jordan, Dakota",SF,OF,702607,22.9,2024 #116,A,R/R,"6'0"" 220",266,222.76,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,201,323,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Houston, Marek",MIN,SS,701339,21.9,2025 #16,A+,R/R,"6'3"" 205",267,223.68,168,Paywall,Paywall,150,150,Paywall,166,165,150,150,Paywall,900,211,150,150,150,225,95,150,150,Paywall,Paywall,Paywall,150,Paywall
"Thompson, Sterlin",COL,OF,694514,24.7,2022 #31,AAA,L/R,"6'3"" 200",267,223.68,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,214,441,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Triantos, James",CHC,2B,701649,23.2,2021 #56,AAA,R/R,"5'11"" 195",269,224.36,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,242,539,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Pecko, Ethan",HOU,P,814490,23.6,2023 #194,AAA,R/R,"6'2"" 195",270,224.52,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,340,440,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Salas, Andrew",MIA,SS,829035,18.1,2025 FA,A,S/R,"6'2"" 180",271,224.68,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,202,357,150,150,150,147,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Vargas, Joendry",LAD,SS,806959,20.4,2023 FA,A,R/R,"6'3"" 175",272,224.76,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,142,355,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Calaz, Robert",COL,OF,806978,20.3,2023 FA,A,R/R,"6'2"" 202",273,224.88,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,129,277,150,150,150,101,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Ortiz, Deniel",STL,3B,811765,21.6,2024 #471,A+,R/R,"6'1"" 230",274,225.04,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,399,125,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Schreck, RJ",TOR,OF,702302,25.7,2023 #277,AAA,L/R,"6'1"" 205",275,225.48,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,257,514,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Lindsey, Kellon",LAD,SS,813916,20.5,2024 #23,A,R/R,"6'0"" 175",276,226.24,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,240,239,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Lara, Luis",MIL,OF,800325,21.4,2022 FA,AA,S/R,"5'8"" 167",277,226.44,168,Paywall,Paywall,150,150,Paywall,165,165,150,150,Paywall,255,416,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Imai, Tatsuya",HOU,P,837227,27.9,2026 FA,,R/R,"5'11"" 176",278,226.96,168,Paywall,Paywall,150,32,Paywall,300,165,150,150,Paywall,900,24,150,150,150,225,31,150,51,Paywall,41,Paywall,150,Paywall
"Jones, Druw",ARI,OF,702258,22.3,2022 #2,A+,R/R,"6'4"" 180",279,227.08,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,156,412,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Mendez, Hendry",MIN,OF,694230,22.4,2021 FA,AA,L/L,"6'3"" 175",280,227.32,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,384,444,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Arroyo, Edwin",CIN,SS,695490,22.6,2021 #48,AA,S/R,"5'11"" 173",281,228.12,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,236,322,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Fauske, Jaden",CHW,OF,828262,19.3,2025 #44,,L/R,"6'3"" 200",282,228.36,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,291,150,150,150,92,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Sullivan, Joseph",HOU,OF,813896,23.7,2024 #223,AA,L/L,"5'11"" 198",283,229.12,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,232,214,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Serwinowski, Adam",LAD,P,703445,21.8,2022 #453,AA,L/L,"6'5"" 191",284,229.52,168,Paywall,Paywall,150,150,Paywall,196,165,150,150,Paywall,427,401,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Crooks, Jimmy",STL,C,699625,24.7,2022 #127,MLB,L/R,"6'0"" 230",285,230.00,168,Paywall,Paywall,150,150,Paywall,300,93,150,150,Paywall,205,304,99,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Burke, Blake",MIL,1B,695501,22.8,2024 #34,AA,L/L,"6'3"" 236",286,230.20,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,189,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Liranzo, Thayron",DET,C,699073,22.7,2021 FA,AA,S/R,"6'2"" 195",287,230.36,168,Paywall,Paywall,150,150,Paywall,144,105,150,150,Paywall,66,317,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Tidwell, Blade",SF,P,694918,24.8,2022 #52,MLB,R/R,"6'4"" 207",287,230.36,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,231,451,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Cova, Luis",MIA,OF,815909,19.1,2024 FA,R,R/R,"6'1"" 160",289,232.20,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,276,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Okamoto, Kazuma",TOR,3B,672960,29.7,2026 FA,,R/R,"6'1"" 220",290,232.48,168,Paywall,Paywall,150,58,Paywall,300,165,150,150,Paywall,900,62,150,150,150,225,47,150,28,Paywall,Paywall,Paywall,150,Paywall
"Lewis, Dillon",MIA,OF,827665,22.8,2024 #391,A+,R/R,"6'3"" 205",291,232.64,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,223,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Blubaugh, AJ",HOU,P,805123,25.7,2022 #223,AAA,R/R,"6'2"" 190",292,232.68,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,174,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Davalillo, Gabriel",LAA,C,829058,18.4,2025 FA,R,R/R,"5'11"" 210",293,232.88,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,253,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Cole, Zach",HOU,OF,805904,25.6,2022 #313,MLB,L/R,"6'2"" 190",294,234.32,168,Paywall,Paywall,150,98,Paywall,300,165,150,150,Paywall,287,310,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Martinez, Keyner",SF,P,815212,21.6,2023 FA,A,R/R,"6'1"" 165",295,234.96,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,378,533,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Ramirez, Ramon",KC,C,808675,20.8,2023 FA,A,R/R,"6'0"" 180",296,235.08,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,189,320,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Ullola, Miguel",HOU,P,699044,23.8,2021 FA,AAA,R/R,"6'1"" 205",297,235.52,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,300,196,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Rincones, Gabriel Jr.",PHI,OF,687282,25.1,2022 #93,AAA,L/R,"6'3"" 225",298,235.60,168,Paywall,Paywall,150,150,Paywall,168,165,150,150,Paywall,483,369,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Meyer, Noble",MIA,P,800611,21.2,2023 #10,A+,R/R,"6'5"" 185",299,235.64,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,229,269,150,150,150,130,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Owens, Josh",TEX,TWP,831384,19.2,2025 #84,A,L/R,"6'3"" 185",300,236.00,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,400,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Mitchell, Ryan",STL,OF,815829,19.2,2025 #55,,L/R,"6'2"" 185",301,236.16,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,170,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"DeBarge, Kyle",MIN,SS,814414,22.7,2024 #33,A+,R/R,"5'9"" 175",302,236.28,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,234,378,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Forbes, Patrick",ARI,P,804467,21.7,2025 #29,,R/R,"6'3"" 220",303,236.96,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,288,150,150,150,121,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Drake, Kohl",ARI,P,684442,25.7,2022 #319,AAA,L/L,"6'5"" 220",304,237.04,168,Paywall,Paywall,150,150,Paywall,162,165,150,150,Paywall,315,473,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Root, Zachary",LAD,P,702539,22.1,2025 #40,,L/L,"6'2"" 210",305,237.52,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,324,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Watson, Kahlil",CLE,OF,696135,22.9,2021 #16,AAA,L/R,"5'9"" 178",306,237.68,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,297,252,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Roby, Tekoah",STL,P,694358,24.5,2020 #86,AAA,R/R,"6'1"" 210",307,238.08,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,235,363,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"McKenzie, Briggs",ATL,P,828987,19.5,2025 #127,,L/L,"6'2"" 190",308,238.12,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,290,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Young, Quentin",MIN,SS,815839,19.1,2025 #54,A,R/R,"6'6"" 225",309,238.20,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,295,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Bragg, Braxton",BAL,P,688867,25.4,2023 #241,AA,R/R,"6'2"" 207",310,238.32,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,183,364,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Murakami, Munetaka",CHW,3B,808959,26.1,2025 FA,,L/R,"6'2"" 213",311,238.36,168,Paywall,Paywall,150,45,Paywall,300,165,150,150,Paywall,900,61,150,150,150,225,Paywall,150,150,Paywall,43,Paywall,150,Paywall
"Bateman, Boston",BAL,P,815348,20.5,2024 #52,A+,R/L,"6'8"" 240",312,238.52,168,Paywall,Paywall,150,150,Paywall,195,165,150,150,Paywall,298,282,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Luis, Jansel",ARI,SS,800306,21.1,2022 FA,A+,S/R,"6'0"" 170",313,238.96,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,215,368,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Gasser, Robert",MIL,P,688107,26.8,2021 #71,MLB,L/L,"6'0"" 192",313,238.96,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,289,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Cauley, Cameron",TEX,SS,695508,23.1,2021 #73,AA,R/R,"5'10"" 170",315,241.36,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,321,207,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Kelly, Antwone",PIT,P,699008,22.6,2021 FA,AA,R/R,"5'10"" 183",316,242.04,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,285,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Sanford, Wyatt",PIT,SS,815608,20.3,2024 #47,A,L/R,"6'1"" 175",317,242.32,168,Paywall,Paywall,150,150,Paywall,104,165,150,150,Paywall,261,210,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Petty, Chase",CIN,P,695534,23.0,2021 #26,MLB,R/R,"6'1"" 190",318,242.72,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,339,855,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Cannarella, Cam",MIA,OF,703448,22.6,2025 #43,A+,L/R,"6'0"" 185",319,242.80,168,Paywall,Paywall,150,150,Paywall,200,165,150,150,Paywall,900,350,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Francisca, Welbyn",CLE,SS,806988,19.9,2023 FA,A,S/R,"5'8"" 148",320,243.44,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,267,381,150,150,150,225,91,150,150,Paywall,Paywall,Paywall,150,Paywall
"Russell, AJ",TEX,P,805706,21.7,2025 #52,,R/R,"6'6"" 223",321,244.44,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,351,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Romero, Mikey",BOS,SS,702540,22.2,2022 #24,AAA,L/R,"6'0"" 175",322,245.20,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,495,330,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Suero, Chris",NYM,C,801523,22.2,2022 FA,AA,R/R,"5'11"" 205",323,245.40,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,373,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Petry, Ethan",WAS,OF,701337,21.8,2025 #49,A,R/R,"6'4"" 235",324,245.56,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,331,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Phillips, Marcus",BOS,P,815071,21.7,2025 #33,,R/R,"6'4"" 246",325,246.36,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,348,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Salcedo, Kelvis",DET,P,808383,20.2,2023 FA,A,R/R,"6'0"" 180",326,247.28,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,251,347,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Yost, Jordan",DET,SS,803723,19.3,2025 #24,,L/R,"6'0"" 170",326,247.28,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,327,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Monegro, Yordanny",BOS,P,694057,23.4,2020 FA,AA,R/R,"6'4"" 180",328,247.32,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,158,286,150,150,150,139,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Valdez, Victor",TB,SS,836590,17.5,2026 FA,,R/R,"6'1"" 186",329,247.60,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,433,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Oakie, Joey",CLE,P,815841,19.9,2024 #84,A,R/R,"6'3"" 200",330,247.68,84,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,484,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Fernandez, Dauri",CLE,2B,821171,19.1,2024 FA,A,S/R,"5'9"" 155",331,248.32,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,386,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Trimble, Fenwick",MIA,OF,814458,23.6,2024 #122,AA,R/R,"6'3"" 200",331,248.32,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,237,443,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Sandlin, David",CHW,P,689818,25.1,2022 #325,AAA,R/R,"6'4"" 215",333,249.20,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,280,345,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Fajardo, Yhoiker",STL,P,823369,19.5,2024 FA,A,R/R,"6'3"" 181",334,250.52,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,581,481,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Whisenhunt, Carson",SF,P,687931,25.4,2022 #66,MLB,L/L,"6'3"" 214",335,251.60,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,289,855,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Church, Nathan",STL,OF,701675,25.7,2022 #337,MLB,L/L,"5'10"" 180",336,251.96,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,344,567,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Eyanson, Anthony",BOS,P,809254,21.5,2025 #87,,R/R,"6'2"" 208",337,252.24,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,900,349,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
"Bleis, Miguel",BOS,OF,694194,22.1,2021 FA,AA,R/R,"6'0"" 170",338,252.84,168,Paywall,Paywall,150,150,Paywall,300,165,150,150,Paywall,308,293,150,150,150,225,Paywall,150,150,Paywall,Paywall,Paywall,150,Paywall
